Timestamp,Name,Value
11.452646,"IMU Yaw Angle (deg)",-0.016511657372117038
11.456111,"Pressure (psi)",-0.4491392801251983
11.456118,"IMU Yaw Angle (deg)",-0.01608386126160621
11.460318,"Pressure (psi)",-0.4491392801251983
11.460601,"IMU Yaw Angle (deg)",-0.01608386126160621
11.466854,"Pressure (psi)",-0.4491392801251983
11.466866,"IMU Yaw Angle (deg)",-0.016132886946201318
11.472861,"Pressure (psi)",-0.4491392801251983
11.472868,"IMU Yaw Angle (deg)",-0.016132886946201318
11.47712,"Pressure (psi)",-0.4491392801251983
11.477127,"IMU Yaw Angle (deg)",-0.016058723598718638
11.480873,"Pressure (psi)",-0.4491392801251983
11.48088,"IMU Yaw Angle (deg)",-0.016058723598718638
11.48462,"Pressure (psi)",-0.4491392801251983
11.484628,"IMU Yaw Angle (deg)",-0.016058723598718638
11.491951,"Pressure (psi)",-0.4491392801251983
11.491959,"IMU Yaw Angle (deg)",-0.01633619906008243
11.497666,"Pressure (psi)",-0.4491392801251983
11.497684,"IMU Yaw Angle (deg)",-0.01633619906008243
11.501742,"Pressure (psi)",-0.4491392801251983
11.501752,"IMU Yaw Angle (deg)",-0.016223024457693094
11.506834,"Pressure (psi)",-0.4491392801251983
11.506851,"IMU Yaw Angle (deg)",-0.016223024457693094
11.514148,"Pressure (psi)",-0.4491392801251983
11.514156,"IMU Yaw Angle (deg)",-0.016236111089587207
11.519842,"Pressure (psi)",-0.4491392801251983
11.519856,"IMU Yaw Angle (deg)",-0.01675904206931591
11.524211,"Pressure (psi)",-0.4491392801251983
11.524218,"IMU Yaw Angle (deg)",-0.01675904206931591
11.52844,"Pressure (psi)",-0.4491392801251983
11.528447,"IMU Yaw Angle (deg)",-0.01675904206931591
11.532847,"Pressure (psi)",-0.4491392801251983
11.532855,"IMU Yaw Angle (deg)",-0.01628333231806755
11.538088,"Pressure (psi)",-0.4491392801251983
11.538095,"IMU Yaw Angle (deg)",-0.01628333231806755
11.542316,"Pressure (psi)",-0.4491392801251983
11.542323,"IMU Yaw Angle (deg)",-0.016884575083851813
11.548148,"Pressure (psi)",-0.4491392801251983
11.548156,"IMU Yaw Angle (deg)",-0.016884575083851813
11.554229,"Pressure (psi)",-0.4491392801251983
11.55447,"IMU Yaw Angle (deg)",-0.017396908655762672
11.560434,"Pressure (psi)",-0.4491392801251983
11.560737,"IMU Yaw Angle (deg)",-0.017396908655762672
11.566389,"Pressure (psi)",-0.4491392801251983
11.566851,"IMU Yaw Angle (deg)",-0.01708249394595623
11.571761,"Pressure (psi)",-0.4491392801251983
11.571769,"IMU Yaw Angle (deg)",-0.01708249394595623
11.579177,"Pressure (psi)",-0.4106583072100314
11.579189,"IMU Yaw Angle (deg)",-0.016704089239239692
11.583061,"Pressure (psi)",-0.4106583072100314
11.583069,"IMU Yaw Angle (deg)",-0.016704089239239692
11.587929,"Pressure (psi)",-0.4106583072100314
11.587937,"IMU Yaw Angle (deg)",-0.01665600581467152
11.591379,"Pressure (psi)",-0.4106583072100314
11.591386,"IMU Yaw Angle (deg)",-0.01665600581467152
11.595875,"Pressure (psi)",-0.4106583072100314
11.596095,"IMU Yaw Angle (deg)",-0.016214867189526562
11.601955,"Pressure (psi)",-0.4106583072100314
11.601971,"IMU Yaw Angle (deg)",-0.016214867189526562
11.608055,"Pressure (psi)",-0.4106583072100314
11.608063,"IMU Yaw Angle (deg)",-0.01623579847812653
11.611615,"Pressure (psi)",-0.4106583072100314
11.611622,"IMU Yaw Angle (deg)",-0.01623579847812653
11.617078,"Pressure (psi)",-0.4106583072100314
11.617086,"IMU Yaw Angle (deg)",-0.01651412406563759
11.62457,"Pressure (psi)",-0.4491392801251983
11.624587,"IMU Yaw Angle (deg)",-0.01651412406563759
11.630401,"Pressure (psi)",-0.4491392801251983
11.630684,"IMU Yaw Angle (deg)",-0.01664149090647698
11.634126,"Pressure (psi)",-0.4491392801251983
11.634133,"IMU Yaw Angle (deg)",-0.01664149090647698
11.63775,"Pressure (psi)",-0.4491392801251983
11.637757,"IMU Yaw Angle (deg)",-0.01664149090647698
11.642468,"Pressure (psi)",-0.4491392801251983
11.642476,"IMU Yaw Angle (deg)",-0.016396086886525156
11.649711,"Pressure (psi)",-0.4491392801251983
11.649718,"IMU Yaw Angle (deg)",-0.016613380417227746
11.653887,"Pressure (psi)",-0.4491392801251983
11.653894,"IMU Yaw Angle (deg)",-0.016613380417227746
11.658743,"Pressure (psi)",-0.4491392801251983
11.658757,"IMU Yaw Angle (deg)",-0.016613380417227746
11.666557,"Pressure (psi)",-0.4491392801251983
11.666564,"IMU Yaw Angle (deg)",-0.016345888003706933
11.672588,"Pressure (psi)",-0.4491392801251983
11.672596,"IMU Yaw Angle (deg)",-0.016524132460355757
11.677109,"Pressure (psi)",-0.4106583072100314
11.677123,"IMU Yaw Angle (deg)",-0.016524132460355757
11.683399,"Pressure (psi)",-0.4106583072100314
11.683411,"IMU Yaw Angle (deg)",-0.016035379931330678
11.685413,"Pressure (psi)",-0.4106583072100314
